"","Species","GrowthHabit","GrowthHabitSub","Duration"
"1","BRTE","Non-Woody","Graminoid","Annual"
"2","ARCA13","Woody","Subshrub","Perennial"
"3","ELEL5","Non-Woody","Graminoid","Perennial"
"4","ALDE","Non-Woody","Forb/Herb","Annual"
"5","PSSP6","Non-Woody","Graminoid","Perennial"
"6","CETE5","Non-Woody","Forb/Herb","Annual"
"7","COPA3","Non-Woody","Forb/Herb","Annual"
"8","ARTRT","Woody","Shrub","Perennial"
"9","CHVI8","Woody","Shrub","Perennial"
"10","MIGR","Non-Woody","Forb/Herb","Annual"
"11","ACTH7","Non-Woody","Graminoid","Perennial"
"12","POSE","Non-Woody","Graminoid","Perennial"
"13","LITE4","Non-Woody","Forb/Herb","Perennial"
"14","JUOC","Woody","Tree","Perennial"
"15","PHLO2","Non-Woody","Forb/Herb","Perennial"
"16","ERNA10","Woody","Shrub","Perennial"
"17","MOLI4","Non-Woody","Forb/Herb","Annual"
"18","ZIPA2","Non-Woody","Forb/Herb","Perennial"
"19","ARAR8","Woody","Subshrub","Perennial"
"20","LEPE2","Non-Woody","Forb/Herb","Annual"
"21","ALLE3","Non-Woody","Forb/Herb","Perennial"
"22","AGCR","Non-Woody","Graminoid","Perennial"
"23","RILE2","Non-Woody","Forb/Herb","Annual"
"24","SIAL2","Non-Woody","Forb/Herb","Annual"
"25","LOTR2","Non-Woody","Forb/Herb","Perennial"
"26","VIBE2","Non-Woody","Forb/Herb","Perennial"
"27","ERLI","Non-Woody","Forb/Herb","Perennial"
"28","FEID","Non-Woody","Graminoid","Perennial"
"29","LULE2","Non-Woody","Forb/Herb","Perennial"
"30","DRVE2","Non-Woody","Forb/Herb","Annual"
"31","EPBR3","Non-Woody","Forb/Herb","Annual"
"32","HOUM","Non-Woody","Forb/Herb","Annual"
"33","NOTR2","Non-Woody","Forb/Herb","Perennial"
"34","PHCH","Non-Woody","Forb/Herb","Perennial"
"35","CRIN8","Non-Woody","Forb/Herb","Annual"
"36","ARTRW8","Woody","Shrub","Perennial"
"37","ATCO","Woody","Subshrub","Perennial"
"38","DEPI","Non-Woody","Forb/Herb","Annual"
"39","ARTRV","Woody","Shrub","Perennial"
"40","ERFI2","Non-Woody","Forb/Herb","Perennial"
"41","LIPU11","Non-Woody","Forb/Herb","Perennial"
"42","ASSC6","Non-Woody","Forb/Herb","Perennial"
"43","ASOB4","Non-Woody","Forb/Herb","Perennial"
"44","PHHO","Non-Woody","Forb/Herb","Perennial"
"45","ANMI3","Non-Woody","Forb/Herb","Perennial"
"46","LUCA","Non-Woody","Forb/Herb","Perennial"
"47","SYOR2","Woody","Shrub","Perennial"
"48","TECA2","Woody","Subshrub","Perennial"
"49","ASFI","Non-Woody","Forb/Herb","Perennial"
"50","MINU","Non-Woody","Forb/Herb","Perennial"
"51","PUTR2","Woody","Shrub","Perennial"
"52","MEOB","Non-Woody","Forb/Herb","Annual"
"53","ANDI2","Non-Woody","Forb/Herb","Perennial"
"54","COGR2","Non-Woody","Forb/Herb","Annual"
"55","ERST4","Non-Woody","Forb/Herb","Perennial"
"56","GARA","Non-Woody","Forb/Herb","Annual"
"57","PLSP7","Non-Woody","Forb/Herb","Perennial"
"58","BASA3","Non-Woody","Forb/Herb","Perennial"
"59","CRWA2","Non-Woody","Forb/Herb","Annual"
"60","PACA15","Non-Woody","Forb/Herb","Perennial"
"61","EROV","Non-Woody","Forb/Herb","Perennial"
"62","ERMI4","Woody","Subshrub","Perennial"
"63","ACHY","Non-Woody","Graminoid","Perennial"
"64","AMME","Non-Woody","Forb/Herb","Annual"
"65","TEGL","Woody","Subshrub","Perennial"
"66","SIAL5","Non-Woody","Forb/Herb","Annual"
"67","HECOC8","Non-Woody","Graminoid","Perennial"
"68","DISP","Non-Woody","Graminoid","Perennial"
"69","SAVE4","Woody","Shrub","Perennial"
"70","LETR5","Non-Woody","Graminoid","Perennial"
"71","ERTR13","Non-Woody","Graminoid","Annual"
"72","MANE","Non-Woody","Forb/Herb","Annual"
"73","IVAX","Non-Woody","Forb/Herb","Perennial"
"74","ARRI2","Woody","Subshrub","Perennial"
"75","TRMA3","Non-Woody","Forb/Herb","Perennial"
"76","TRAR4","Non-Woody","Forb/Herb","Annual"
"77","PPSH",NA,NA,NA
"78","MAGR3","Non-Woody","Forb/Herb","Annual"
"79","ALAC4","Non-Woody","Forb/Herb","Perennial"
"80","BLSC","Non-Woody","Forb/Herb","Annual"
"81","BRTE4","Non-Woody","Forb/Herb","Perennial"
"82","ERBA7","Non-Woody","Forb/Herb","Annual"
"83","BRAR5","Non-Woody","Graminoid","Annual"
"84","TACA8","Non-Woody","Graminoid","Annual"
"85","AAFF","Non-woody","Forb","Annual"
"86","ANGE3","Non-Woody","Forb/Herb","Perennial"
"87","CELEL","Woody","Tree","Perennial"
"88","ACOC3","Non-Woody","Graminoid","Perennial"
"89","ACNE10","Non-Woody","Graminoid","Perennial"
"90","POBU","Non-Woody","Graminoid","Perennial"
"91","TRDU","Non-Woody","Forb/Herb","Annual"
"92","PHHE2","Non-Woody","Forb/Herb","Perennial"
"93","PODO4","Non-Woody","Forb/Herb","Annual"
