STATE,COUNTY,County,State,STATENM
56,23,Lincoln,WY,Wyoming
56,29,Park,WY,Wyoming
56,41,Uinta,WY,Wyoming
56,3,Big Horn,WY,Wyoming
56,7,Carbon,WY,Wyoming
56,13,Fremont,WY,Wyoming
56,17,Hot Springs,WY,Wyoming
56,19,Johnson,WY,Wyoming
56,25,Natrona,WY,Wyoming
56,35,Sublette,WY,Wyoming
56,37,Sweetwater,WY,Wyoming
56,43,Washakie,WY,Wyoming
56,1,Albany,WY,Wyoming
56,5,Campbell,WY,Wyoming
56,9,Converse,WY,Wyoming
56,11,Crook,WY,Wyoming
56,15,Goshen,WY,Wyoming
56,21,Laramie,WY,Wyoming
56,27,Niobrara,WY,Wyoming
56,31,Platte,WY,Wyoming
56,33,Sheridan,WY,Wyoming
56,39,Teton,WY,Wyoming
56,45,Weston,WY,Wyoming
53,25,Grant,WA,Washington
53,1,Adams,WA,Washington
53,3,Asotin,WA,Washington
53,5,Benton,WA,Washington
53,7,Chelan,WA,Washington
53,9,Clallam,WA,Washington
53,11,Clark,WA,Washington
53,13,Columbia,WA,Washington
53,15,Cowlitz,WA,Washington
53,17,Douglas,WA,Washington
53,19,Ferry,WA,Washington
53,21,Franklin,WA,Washington
53,23,Garfield,WA,Washington
53,27,Grays Harbor,WA,Washington
53,29,Island,WA,Washington
53,31,Jefferson,WA,Washington
53,33,King,WA,Washington
53,35,Kitsap,WA,Washington
53,37,Kittitas,WA,Washington
53,39,Klickitat,WA,Washington
53,41,Lewis,WA,Washington
53,43,Lincoln,WA,Washington
53,45,Mason,WA,Washington
53,47,Okanogan,WA,Washington
53,49,Pacific,WA,Washington
53,51,Pend Oreille,WA,Washington
53,53,Pierce,WA,Washington
53,55,San Juan,WA,Washington
53,57,Skagit,WA,Washington
53,59,Skamania,WA,Washington
53,61,Snohomish,WA,Washington
53,63,Spokane,WA,Washington
53,65,Stevens,WA,Washington
53,67,Thurston,WA,Washington
53,69,Wahkiakum,WA,Washington
53,71,Walla Walla,WA,Washington
53,73,Whatcom,WA,Washington
53,75,Whitman,WA,Washington
53,77,Yakima,WA,Washington
49,1,Beaver,UT,Utah
49,17,Garfield,UT,Utah
49,25,Kane,UT,Utah
49,27,Millard,UT,Utah
49,33,Rich,UT,Utah
49,45,Tooele,UT,Utah
49,15,Emery,UT,Utah
49,23,Juab,UT,Utah
49,47,Uintah,UT,Utah
49,3,Box Elder,UT,Utah
49,19,Grand,UT,Utah
49,37,San Juan,UT,Utah
49,39,Sanpete,UT,Utah
49,53,Washington,UT,Utah
49,55,Wayne,UT,Utah
49,5,Cache,UT,Utah
49,7,Carbon,UT,Utah
49,9,Daggett,UT,Utah
49,11,Davis,UT,Utah
49,13,Duchesne,UT,Utah
49,21,Iron,UT,Utah
49,29,Morgan,UT,Utah
49,31,Piute,UT,Utah
49,35,Salt Lake,UT,Utah
49,41,Sevier,UT,Utah
49,43,Summit,UT,Utah
49,49,Utah,UT,Utah
49,51,Wasatch,UT,Utah
49,57,Weber,UT,Utah
46,3,Aurora,SD,South Dakota
46,5,Beadle,SD,South Dakota
46,7,Bennett,SD,South Dakota
46,9,Bon Homme,SD,South Dakota
46,11,Brookings,SD,South Dakota
46,13,Brown,SD,South Dakota
46,15,Brule,SD,South Dakota
46,17,Buffalo,SD,South Dakota
46,19,Butte,SD,South Dakota
46,21,Campbell,SD,South Dakota
46,23,Charles Mix,SD,South Dakota
46,25,Clark,SD,South Dakota
46,27,Clay,SD,South Dakota
46,29,Codington,SD,South Dakota
46,31,Corson,SD,South Dakota
46,33,Custer,SD,South Dakota
46,35,Davison,SD,South Dakota
46,37,Day,SD,South Dakota
46,39,Deuel,SD,South Dakota
46,41,Dewey,SD,South Dakota
46,43,Douglas,SD,South Dakota
46,45,Edmunds,SD,South Dakota
46,47,Fall River,SD,South Dakota
