data_type,variable,grouping_vars,hit,note,status
metadata_1,OBJECTID,,,,
metadata_2,PrimaryKey,,,,
metadata_3,PlotKey,,,,
metadata_4,PlotID,,,,
metadata_5,State,,,,
metadata_6,SpeciesState,,,,
metadata_7,County,,,,
metadata_8,ProjectName,,,,
metadata_9,PhotoLink,,,,
metadata_10,EcologicalSiteId,,,,
metadata_11,EcolSiteName,,,,
metadata_12,Latitude_NAD83,,,,
metadata_13,Longitude_NAD83,,,,
metadata_14,DateEstablished,,,,
metadata_15,DateVisited,,,,
canopy gap,GapCover_25_50,,,,
canopy gap,GapCover_51_100,,,,
canopy gap,GapCover_101_200,,,,
canopy gap,GapCover_200_plus,,,,
soil stability,SoilStability_All,,,,
soil stability,SoilStability_Protected,,,,
soil stability,SoilStability_Unprotected,,,,
cover,TotalFoliarCover,,any,,
cover,BareSoil,between_plant,first,,
cover,AH_ForbCover,GrowthHabitSub,any,,
cover,AH_PerenForbCover,Duration;GrowthHabitSub,any,,
cover,AH_AnnForbCover,Duration;GrowthHabitSub,any,,
cover,AH_PreferredForbCover,SG_Group,any,,
cover,AH_GrassCover,Grass,any,,
cover,AH_GraminoidCover,GrowthHabitSub,any,,
cover,AH_PerenGrassCover,Duration;Grass,any,,
cover,AH_PerenGraminoidCover,Duration;GrowthHabitSub,any,,
cover,AH_C3PerenGrassCover,C3;Duration;Grass,any,,
cover,AH_C4PerenGrassCover,C4;Duration;Grass,any,,
cover,AH_AnnGrassCover,Duration;Grass,any,,
cover,AH_AnnGraminoidCover,Duration;GrowthHabitSub,any,,
cover,AH_TallPerenGrassCover,SG_Group,any,,
cover,AH_ShortPerenGrassCover,SG_Group,any,,
cover,AH_PerenForbGraminoidCover,Duration;ForbGraminoid,any,,
cover,AH_ShrubCover,GrowthHabitSub,any,,
cover,AH_ShrubSucculentCover,ShrubSucculent,any,,
cover,AH_SagebrushCover,SG_Group,any,,
cover,AH_SagebrushCover_Live,SG_Group;Live,any,,
cover,AH_NonSagebrushShrubCover,SG_Group,any,,
cover,AH_TotalLitterCover,TotalLitter,any,,
cover,AH_WoodyLitterCover,Litter,any,,
cover,AH_HerbLitterCover,Litter,any,,
cover,AH_DuffCover,SpecialConsiderationCode,any,,
cover,AH_VagrLichenCover,SpecialConsiderationCode,any,,
cover,AH_LichenCover,SpecialConsiderationCode,any,,
cover,AH_MossCover,SpecialConsiderationCode,any,,
cover,AH_CyanobacteriaCover,SpecialConsiderationCode,any,,
cover,AH_RockCover,Rock,any,,
cover,AH_EmbLitterCover,SpecialConsiderationCode,any,,
cover,AH_WaterCover,SpecialConsiderationCode,any,,
cover,AH_InvasiveCover,Invasive,any,,
cover,AH_InvasivePerenForbCover,Invasive;Duration;GrowthHabitSub,any,,
cover,AH_InvasiveAnnForbCover,Invasive;Duration;GrowthHabitSub,any,,
cover,AH_InvasivePerenGrassCover,Invasive;Duration;Grass,any,,
cover,AH_InvasiveAnnGrassCover,Invasive;Duration;Grass,any,,
cover,AH_InvasivePerenForbGrassCover,Invasive;Duration;ForbGrass,any,,
cover,AH_InvasiveAnnForbGrassCover,Invasive;Duration;ForbGrass,any,,
cover,AH_InvasiveShrubCover,Invasive;GrowthHabitSub,any,,
cover,AH_InvasiveSubShrubCover,Invasive;GrowthHabitSub,any,,
cover,AH_InvasiveSucculentCover,Invasive;GrowthHabitSub,any,,
cover,AH_InvasiveTreeCover,Invasive;GrowthHabitSub,any,,
cover,AH_NativeCover,Native,any,,
cover,AH_NonNativeCover,Native,any,,
cover,AH_NoxiousCover,Noxious,any,,
cover,AH_PJCover,PJ,any,,
cover,AH_ConiferCover,Conifer,any,,
cover,AH_BasalCover,Plant,basal,,
cover,AH_BasalPerenGrassCover,Duration;Grass,basal,,
cover,AH_BiocrustCover,Biocrust,any,,
cover,FH_TotalLitterCover,TotalLitter,first,,
cover,FH_WoodyLitterCover,between_plant,first,,
cover,FH_HerbLitterCover,between_plant,first,,
cover,FH_DuffCover,between_plant,first,,
cover,FH_VagrLichenCover,between_plant,first,,
cover,FH_LichenCover,between_plant,first,,
cover,FH_MossCover,between_plant,first,,
cover,FH_CyanobacteriaCover,between_plant,first,,
cover,FH_RockCover,between_plant,first,,
cover,FH_EmbLitterCover,between_plant,first,,
cover,FH_DepSoilCover,between_plant,first,,
cover,FH_WaterCover,between_plant,first,,
cover,FH_ForbCover,GrowthHabitSub,first,Remote sensing FH indicators,
cover,FH_PerenForbCover,Duration;GrowthHabitSub,first,Remote sensing FH indicators,
cover,FH_AnnForbCover,Duration;GrowthHabitSub,first,Remote sensing FH indicators,
cover,FH_GraminoidCover,GrowthHabitSub,first,Remote sensing FH indicators,
cover,FH_AnnGraminoidCover,Duration;GrowthHabitSub,first,Remote sensing FH indicators,
cover,FH_PerenForbGraminoidCover,Duration;ForbGraminoid,first,Remote sensing FH indicators,
cover,FH_ShrubCover,GrowthHabitSub,first,Remote sensing FH indicators,
cover,FH_SagebrushCover,SG_Group,first,Remote sensing FH indicators,
cover,FH_NonSagebrushShrubCover,SG_Group,first,Remote sensing FH indicators,
cover,FH_TreeCover,GrowthHabitSub,first,Remote sensing FH indicators,
cover,FH_PerenGraminoidCover,Duration;GrowthHabitSub,first,Remote sensing FH indicators,
height,Hgt_Woody_Avg,,,,
height,Hgt_Herbaceous_Avg,,,,
height,Hgt_Forb_Avg,,,,
height,Hgt_PerenForb_Avg,,,,
height,Hgt_Graminoid_Avg,,,,
height,Hgt_PerenGraminoid_Avg,,,,
height,Hgt_TallPerenGrass_Avg,,,,
height,Hgt_ShortPerenGrass_Avg,,,,
height,Hgt_PerenForbGraminoid_Avg,,,,
height,Hgt_Shrub_Avg,,,,
height,Hgt_NonSagebrushShrub_Avg,,,,
height,Hgt_Sagebrush_Avg,,,,
height,Hgt_Sagebrush_Live_Avg,,,,
shrub_shape,SagebrushShape_All_ColumnCount,SG_Group;chckbox,,,
shrub_shape,SagebrushShape_All_SpreadCount,SG_Group;chckbox,,,
shrub_shape,SagebrushShape_All_Predominant,SG_Group;chckbox,,,
